[15.12.2025 16:19:40] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 16:29:38] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 16:34:05] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 16:57:50] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 19:19:59] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 19:47:40] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 19:52:08] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 19:55:02] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 19:58:45] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 20:00:39] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 20:05:38] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 20:19:58] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 20:22:49] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 20:27:47] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 20:30:04] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 20:32:45] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 20:38:42] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 20:41:49] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 20:50:37] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 21:04:54] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 21:05:20] [INFO] received Windows console close event; shutting log-core down
[15.12.2025 21:11:12] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 06:28:13] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 06:30:59] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 06:35:33] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 06:40:27] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 06:45:26] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 06:50:44] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:07:30] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:11:46] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:14:33] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:17:25] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:20:51] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:20:51] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:22:55] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:24:56] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:27:08] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:32:24] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:35:56] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:38:12] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:41:47] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:48:31] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 07:53:41] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 08:01:22] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 08:04:41] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 08:17:45] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 09:03:04] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 09:14:16] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 09:18:01] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 09:26:50] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 09:31:28] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 09:37:07] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 16:50:09] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 17:37:37] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 17:45:46] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 17:50:52] [INFO] received Windows console close event; shutting log-core down
[16.12.2025 18:02:33] [INFO] received Windows console close event; shutting log-core down
